current_time,tau,p_motor,rpm
1.125396,0.000000,0.000000,0.000000
1.127610,0.000000,0.000000,0.000000
1.130323,0.000000,0.000000,0.000000
1.132732,0.000000,0.000000,0.000000
1.135216,0.000000,0.000000,0.000000
1.137935,0.000000,0.000000,0.000000
1.140124,0.000000,0.000000,0.000000
1.142163,0.000000,0.000000,0.000000
1.144181,0.000000,0.000000,0.000000
1.146215,0.000000,0.000000,0.000000
1.148174,0.000000,0.000000,0.000000
1.150290,0.000000,0.000000,0.000000
1.152269,0.000000,0.000000,0.000000
1.154405,0.000000,0.000000,0.000000
1.156884,0.000000,0.000000,0.000000
1.159459,0.000000,0.000000,0.000000
1.162542,0.000000,0.000000,0.000000
1.164765,0.000000,0.000000,0.000000
1.166569,0.000000,0.000000,0.000000
1.168742,0.000000,0.000000,0.000000
1.170679,0.000000,0.000000,0.000000
1.173140,0.000000,0.000000,0.000000
1.175014,0.000000,0.000000,0.000000
1.177312,0.000000,0.000000,0.000000
1.179393,0.000000,0.000000,0.000000
1.181618,0.000000,0.000000,0.000000
1.183661,0.000000,0.000000,0.000000
1.185953,0.000000,0.000000,0.000000
1.188419,0.000000,0.000000,0.000000
1.194755,0.000000,0.000000,0.000000
1.197078,0.000000,0.000000,0.000000
1.199642,0.000000,0.000000,0.000000
1.201913,0.000000,0.000000,0.000000
1.204129,0.000000,0.000000,0.000000
1.206153,0.000000,0.000000,0.000000
1.208189,0.000000,0.000000,0.000000
1.210148,0.000000,0.000000,0.000000
1.212360,0.000000,0.000000,0.000000
1.216185,0.000000,0.000000,0.000000
1.220469,0.000000,0.000000,0.000000
1.223220,0.000000,0.000000,0.000000
1.225426,0.000000,0.000000,0.000000
1.227381,0.000000,0.000000,0.000000
1.230243,0.000000,0.000000,0.000000
1.232773,0.000000,0.000000,0.000000
1.235471,0.000000,0.000000,0.000000
1.237788,0.000000,0.000000,0.000000
1.239816,0.000000,0.000000,0.000000
1.241819,0.000000,0.000000,0.000000
1.243975,0.000000,0.000000,0.000000
1.246344,0.000000,0.000000,0.000000
1.248600,0.000000,0.000000,0.000000
1.250952,0.000000,0.000000,0.000000
1.256073,0.000000,0.000000,0.000000
1.258799,0.000000,0.000000,0.000000
1.261293,0.000000,0.000000,0.000000
1.263613,0.000000,0.000000,0.000000
1.265796,0.000000,0.000000,0.000000
1.267884,0.000000,0.000000,0.000000
1.270556,0.000000,0.000000,0.000000
1.272499,0.000000,0.000000,0.000000
1.274621,0.000000,0.000000,0.000000
1.276566,0.000000,0.000000,0.000000
1.278697,0.000000,0.000000,0.000000
1.280613,0.000000,0.000000,0.000000
1.282643,0.000000,0.000000,0.000000
1.284998,0.000000,0.000000,0.000000
1.287550,0.000000,0.000000,0.000000
1.290097,0.000000,0.000000,0.000000
1.292440,0.000000,0.000000,0.000000
1.294975,0.000000,0.000000,0.000000
1.297178,0.000000,0.000000,0.000000
1.299447,0.000000,0.000000,0.000000
1.301732,0.000000,0.000000,0.000000
1.303729,0.000000,0.000000,0.000000
1.305728,0.000000,0.000000,0.000000
1.307696,0.000000,0.000000,0.000000
1.309697,0.000000,0.000000,0.000000
1.311774,0.000000,0.000000,0.000000
1.313877,0.000000,0.000000,0.000000
1.316117,0.000000,0.000000,0.000000
1.318812,0.000000,0.000000,0.000000
1.323333,0.000000,0.000000,0.000000
1.325817,0.000000,0.000000,0.000000
1.328147,0.000000,0.000000,0.000000
1.330231,0.000000,0.000000,0.000000
1.332474,0.000000,0.000000,0.000000
1.334573,0.000000,0.000000,0.000000
1.336559,0.000000,0.000000,0.000000
1.338560,0.000000,0.000000,0.000000
1.340470,0.000000,0.000000,0.000000
1.342504,0.000000,0.000000,0.000000
1.344567,0.000000,0.000000,0.000000
1.346797,0.000000,0.000000,0.000000
1.349104,0.000000,0.000000,0.000000
1.351285,0.000000,0.000000,0.000000
1.354397,0.000000,0.000000,0.000000
1.356907,0.000000,0.000000,0.000000
1.359182,0.000000,0.000000,0.000000
1.361465,0.000000,0.000000,0.000000
1.363522,0.000000,0.000000,0.000000
1.365587,0.000000,0.000000,0.000000
1.367758,0.000000,0.000000,0.000000
1.369937,0.000000,0.000000,0.000000
1.371977,0.000000,0.000000,0.000000
1.374018,0.000000,0.000000,0.000000
1.375966,0.000000,0.000000,0.000000
1.378252,0.000000,0.000000,0.000000
1.380557,0.000000,0.000000,0.000000
1.383274,0.000000,0.000000,0.000000
1.385884,0.000000,0.000000,0.000000
1.388194,0.000000,0.000000,0.000000
1.390137,0.000000,0.000000,0.000000
1.392749,0.000000,0.000000,0.000000
1.394972,0.000000,0.000000,0.000000
1.397028,0.000000,0.000000,0.000000
1.399057,0.000000,0.000000,0.000000
1.401099,0.000000,0.000000,0.000000
1.403102,0.000000,0.000000,0.000000
1.405296,0.000000,0.000000,0.000000
1.407340,0.000000,0.000000,0.000000
1.409427,0.000000,0.000000,0.000000
1.411675,0.000000,0.000000,0.000000
1.414145,0.000000,0.000000,0.000000
1.416769,0.000000,0.000000,0.000000
1.418932,0.000000,0.000000,0.000000
1.421424,0.000000,0.000000,0.000000
1.423582,0.000000,0.000000,0.000000
1.425715,0.000000,0.000000,0.000000
1.427896,0.000000,0.000000,0.000000
1.429988,0.000000,0.000000,0.000000
1.432003,0.000000,0.000000,0.000000
1.434523,0.000000,0.000000,0.000000
1.436974,0.000000,0.000000,0.000000
1.439117,0.000000,0.000000,0.000000
1.441211,0.000000,0.000000,0.000000
1.443419,0.000000,0.000000,0.000000
1.445902,0.000000,0.000000,0.000000
1.448587,0.000000,0.000000,0.000000
1.450993,0.000000,0.000000,0.000000
1.453658,0.000000,0.000000,0.000000
1.456534,0.000000,0.000000,0.000000
1.469816,0.000000,0.000000,0.000000
1.472596,0.000000,0.000000,0.000000
1.475031,0.000000,0.000000,0.000000
1.477643,0.000000,0.000000,0.000000
1.479936,0.000000,0.000000,0.000000
1.482445,0.000000,0.000000,0.000000
1.484999,0.000000,0.000000,0.000000
1.488025,0.000000,0.000000,0.000000
1.490220,0.000000,0.000000,0.000000
1.492410,0.000000,0.000000,0.000000
1.494497,0.000000,0.000000,0.000000
1.496866,0.000000,0.000000,0.000000
1.499119,0.000000,0.000000,0.000000
1.501221,0.000000,0.000000,0.000000
1.503412,0.000000,0.000000,0.000000
1.505706,0.000000,0.000000,0.000000
1.508099,0.000000,0.000000,0.000000
1.511015,0.000000,0.000000,0.000000
1.513615,0.000000,0.000000,0.000000
1.516228,0.000000,0.000000,0.000000
1.518713,0.000000,0.000000,0.000000
1.520963,0.000000,0.000000,0.000000
1.523194,0.000000,0.000000,0.000000
1.525538,0.000000,0.000000,0.000000
1.527761,0.000000,0.000000,0.000000
1.530070,0.000000,0.000000,0.000000
1.532271,0.000000,0.000000,0.000000
1.534621,0.000000,0.000000,0.000000
1.536803,0.000000,0.000000,0.000000
1.538870,0.000000,0.000000,0.000000
1.541381,0.000000,0.000000,0.000000
1.543709,0.000000,0.000000,0.000000
1.546540,0.000000,0.000000,0.000000
1.549021,0.000000,0.000000,0.000000
1.551430,0.000000,0.000000,0.000000
1.554274,0.000000,0.000000,0.000000
1.556584,0.000000,0.000000,0.000000
1.558807,0.000000,0.000000,0.000000
1.561122,0.000000,0.000000,0.000000
1.563440,0.000000,0.000000,0.000000
1.565589,0.000000,0.000000,0.000000
1.567840,0.000000,0.000000,0.000000
1.570129,0.000000,0.000000,0.000000
1.572393,0.000000,0.000000,0.000000
1.574874,0.000000,0.000000,0.000000
1.577592,0.000000,0.000000,0.000000
1.580150,0.000000,0.000000,0.000000
1.582757,0.000000,0.000000,0.000000
1.585123,0.000000,0.000000,0.000000
1.587571,0.000000,0.000000,0.000000
1.589770,0.000000,0.000000,0.000000
1.591905,0.000000,0.000000,0.000000
1.594206,0.000000,0.000000,0.000000
1.596347,0.000000,0.000000,0.000000
1.598627,0.000000,0.000000,0.000000
1.600747,0.000000,0.000000,0.000000
1.602910,0.000000,0.000000,0.000000
1.605441,0.000000,0.000000,0.000000
1.607460,0.000000,0.000000,0.000000
1.610915,0.000000,0.000000,0.000000
1.613579,0.000000,0.000000,0.000000
1.615894,0.000000,0.000000,0.000000
1.618313,0.000000,0.000000,0.000000
1.620718,0.000000,0.000000,0.000000
1.622908,0.000000,0.000000,0.000000
1.625126,0.000000,0.000000,0.000000
1.627457,0.000000,0.000000,0.000000
1.629939,0.000000,0.000000,0.000000
1.632022,0.000000,0.000000,0.000000
1.634161,0.000000,0.000000,0.000000
1.636564,0.000000,0.000000,0.000000
1.639219,0.000000,0.000000,0.000000
1.642071,0.000000,0.000000,0.000000
1.644812,0.000000,0.000000,0.000000
1.647077,0.000000,0.000000,0.000000
1.649328,0.000000,0.000000,0.000000
1.651410,0.000000,0.000000,0.000000
1.653499,0.000000,0.000000,0.000000
1.655510,0.000000,0.000000,0.000000
1.657538,0.000000,0.000000,0.000000
1.659513,0.000000,0.000000,0.000000
1.661742,0.000000,0.000000,0.000000
1.663827,0.000000,0.000000,0.000000
1.665864,0.000000,0.000000,0.000000
1.668230,0.000000,0.000000,0.000000
1.670824,0.000000,0.000000,0.000000
1.673298,0.000000,0.000000,0.000000
1.676108,0.000000,0.000000,0.000000
1.678096,0.000000,0.000000,0.000000
1.681447,0.000000,0.000000,0.000000
1.683497,0.000000,0.000000,0.000000
1.685546,0.000000,0.000000,0.000000
1.687521,0.000000,0.000000,0.000000
1.689518,0.000000,0.000000,0.000000
1.691508,0.000000,0.000000,0.000000
1.693549,0.000000,0.000000,0.000000
1.695649,0.000000,0.000000,0.000000
1.697742,0.000000,0.000000,0.000000
1.699764,0.000000,0.000000,0.000000
1.702221,0.000000,0.000000,0.000000
1.704488,0.000000,0.000000,0.000000
1.716202,0.000000,0.000000,0.000000
1.718371,0.000000,0.000000,0.000000
1.720474,0.000000,0.000000,0.000000
1.722677,0.000000,0.000000,0.000000
1.725361,0.000000,0.000000,0.000000
1.727685,0.000000,0.000000,0.000000
1.729883,0.000000,0.000000,0.000000
1.731914,0.000000,0.000000,0.000000
1.734400,0.000000,0.000000,0.000000
1.736828,0.000000,0.000000,0.000000
1.739927,0.000000,0.000000,0.000000
1.742443,0.000000,0.000000,0.000000
1.745244,0.000000,0.000000,0.000000
1.748019,0.000000,0.000000,0.000000
1.750005,0.000000,0.000000,0.000000
1.751849,0.000000,0.000000,0.000000
1.753700,0.000000,0.000000,0.000000
1.756115,0.000000,0.000000,0.000000
1.758534,0.000000,0.000000,0.000000
1.760634,0.000000,0.000000,0.000000
1.762893,0.000000,0.000000,0.000000
1.765306,0.000000,0.000000,0.000000
1.767540,0.000000,0.000000,0.000000
1.770104,0.000000,0.000000,0.000000
1.772199,0.000000,0.000000,0.000000
1.774489,0.000000,0.000000,0.000000
1.776802,0.000000,0.000000,0.000000
1.779925,0.000000,0.000000,0.000000
1.782238,0.000000,0.000000,0.000000
1.784138,0.000000,0.000000,0.000000
1.785978,0.000000,0.000000,0.000000
